UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
News & Views: Canadian Perspective,@ViewsPlusNews,2022-04-14T23:58:28.000Z,"News & Views: Canadian Perspective
@ViewsPlusNews
·
Apr 14, 2022","Replying to 
@thenewsoncnbc
 @elonmusk
 and 
@JBoorstin
Elon Musk is antithesis of free expression; he believes billions can buy power & influence. If successful in buying 
@Twitter
 he'll find ""liberals"" flee by the millions leaving a void space like Truth Social.

There's no definition or connotation of ""musk"" that doesn't offend.
1",🍁 🍁,,,1,[],https://twitter.com/ViewsPlusNews/status/1514754995459043330
Bubbafox,@bob4punk,2022-04-14T23:58:37.000Z,"Bubbafox
@bob4punk
·
Apr 14, 2022","Replying to 
@investorzayn
 @elonmusk
 and 
@Twitter
That was when tech was grossly overvalued. Since it has falling back to reality and closer to what it should be. Still Trading with a p/e ratio of 121. It was at $37 when Elon made his offer. You don't buy a company based off its all-time high...right?
1
1",,1,,1,[],https://twitter.com/bob4punk/status/1514755033409200135
Trojanmom8,@trojanmom8,2022-04-14T23:58:44.000Z,"Trojanmom8
@trojanmom8
·
Apr 14, 2022","Replying to 
@TAVSTRA
 and 
@Twitter
Hasn’t it been a great adventure? But back then we could insult the potus and not get banned. Now, we fear the repercussions. If 
@elonmusk
 does buy it, we could go back to the good ol’ days!
1",☯,,,1,[],https://twitter.com/trojanmom8/status/1514755061762600972
Mr. Michigan,@LakeshoreLocal,2022-04-14T23:59:51.000Z,"Mr. Michigan
@LakeshoreLocal
·
Apr 14, 2022","Replying to 
@Alwaleed_Talal
 @elonmusk
 and 2 others
Wow, so now Elon Musk is taking on diabolical Saudi plutarchs, too? I didn't think I could like him any more but now...",,,,,[],https://twitter.com/LakeshoreLocal/status/1514755342944641026
Mary Xenophon 1776,@MaryXenophon,2022-04-14T23:53:37.000Z,"Mary Xenophon 1776
@MaryXenophon
·
Apr 14, 2022","Replying to 
@elonmusk
 @WendyRogersAZ
 and 4 others
If Elon doesn’t get to buy Twitter..does that mean the ONE WORLD ORDER has been fairly well established? UN-worthless. NATO? USA..dumpster fire.
China ? Liberals will find themselves as worthless as us all..kept in our place
Workers in a shoe factory
1",,1,,,[],https://twitter.com/MaryXenophon/status/1514753774425886722
David Conroy,@DavidConroy123,2022-04-14T23:57:25.000Z,"David Conroy
@DavidConroy123
·
Apr 14, 2022","Replying to 
@charlesw0781
 @ezeldeen_h
 and 4 others
Oh somebody may buy it but people like me and many others are truly seeing what it's all about since Elon came to Twitter. The news on Truth social is it is in testing so it's coming soon.
2
3",,2,,3,[],https://twitter.com/DavidConroy123/status/1514754731364691982
FinnDawg,@FloHomeBrewer,2022-04-14T23:47:26.000Z,"FinnDawg
@FloHomeBrewer
·
Apr 14, 2022","Replying to 
@elonmusk
 @PoliticalShort
 and 
@Twitter
Very tempted to buy some stock...would be awesome to get a check from Elon!",,,,,[],https://twitter.com/FloHomeBrewer/status/1514752221447139339
Team Loki,@CentristTina,2022-04-14T23:50:27.000Z,"Team Loki
@CentristTina
·
Apr 14, 2022","Replying to 
@DanCrenshawTX
 @elonmusk
 and 
@Twitter
Maybe Elon musk should think about making his own platform instead of ugly cars",,,,,[],https://twitter.com/CentristTina/status/1514752980142108679
Jeff Lewis,@jeffblewis,2022-04-14T23:58:15.000Z,"Jeff Lewis
@jeffblewis
·
Apr 14, 2022","Replying to 
@Kester_Guy
 @elonmusk
 and 
@Twitter
Lol. It’ll be funny when you guys realize musk is only interested in twitter to shut down the guy who tracks his private jet.",,,,,[],https://twitter.com/jeffblewis/status/1514754942849888268
₮Æ§Lλ ₱H∅ΞN!X,@TeslaPhx,2022-04-14T23:47:07.000Z,"₮Æ§Lλ ₱H∅ΞN!X
@TeslaPhx
·
Apr 14, 2022","Replying to 
@elonmusk
Elon should buy 
@Twitter
 for:
$42,069,000,000
78.6%
$69,420,000,000
21.4%
28 votes
·
Final results
2",🍥,,2,,[],https://twitter.com/TeslaPhx/status/1514752140941885441
Judybluetoo,@judybluetoo,2022-04-14T23:59:41.000Z,"Judybluetoo
@judybluetoo
·
Apr 14, 2022","People are musing over whether or not it's a good or bad thing that for Musk to buy Twitter. This story clears it up for me. IT'S DEFINITELY A BAD IDEA. 
@Twitter
businessinsider.com
Republicans cheer Elon Musk's attempt to buy Twitter
Conservatives have long claimed that social media networks are biased against them, and see Musk as a figure who would be sympathetic to their concerns.",,,,,['https://pbs.twimg.com/card_img/1621742644367085568/P1iAV9uH?format=jpg&name=small'],https://twitter.com/judybluetoo/status/1514755300368211968
Magic Freeze,@MagicFreeze,2022-04-14T23:46:02.000Z,"Magic Freeze
@MagicFreeze
·
Apr 14, 2022","Replying to 
@elonmusk
 @Alwaleed_Talal
 and 2 others
Next breaking news could be that Twitter suspends Elon Musk’s Twitter account permanently.",,,,,[],https://twitter.com/MagicFreeze/status/1514751867548446728
Alexey,@lampochkaa1,2022-04-14T23:53:30.000Z,"Alexey
@lampochkaa1
·
Apr 14, 2022","Replying to 
@EBischoff
 @Twitter
 and 
@elonmusk
lol its funny because 
@Twitter
  needs 
@elonmusk
  more than elon needs twitter. They are literally shooting themselves in head at this point.",,,,,[],https://twitter.com/lampochkaa1/status/1514753745128669185
Joe el Cool,@Joe_el_Cool,2022-04-14T23:49:45.000Z,"Joe el Cool
@Joe_el_Cool
·
Apr 14, 2022","Replying to 
@elonmusk
 @Alwaleed_Talal
 and 2 others
@elonmusk
 why not start a social platform like twitter, instead of trying to buy this BS company...im sure just because you own it, a lot of people will join...",,,,,[],https://twitter.com/Joe_el_Cool/status/1514752804291719189
Zee | ٩٩٢.eth,@ZeeJenkinz,2022-04-14T23:50:16.000Z,"Zee | ٩٩٢.eth
@ZeeJenkinz
·
Apr 14, 2022","Replying to 
@elonmusk
 @Alwaleed_Talal
 and 2 others
Did 
@Alwaleed_Talal
 touched a soft spot Elon? Why are you so intimidated? Such a damn bully.",,,,,[],https://twitter.com/ZeeJenkinz/status/1514752932771684353
Tom Miiller,@miiller_tom,2022-04-14T23:45:30.000Z,"Tom Miiller
@miiller_tom
·
Apr 14, 2022","Replying to 
@richardslc
 @dryflyelk
 and 
@Twitter
You contradicted yourself at the start. Only the government is forbidden to suppress free speech. So, Twitter can and has suppressed it. And, as a private investor, Musk can change that as well. Since the left has controlled social media to the nation’s detriment, thank Musk.",,,,,[],https://twitter.com/miiller_tom/status/1514751733951574021
Ben Royce green IOTA ...went to M*st*d*n,@accretionist,2022-04-14T23:51:35.000Z,"Ben Royce green IOTA ...went to M*st*d*n
@accretionist
·
Apr 14, 2022","Replying to 
@DarMo68
 @vijayswamidass
 and 5 others
Elon Musk is a gloryhound on an ego trip and that's fine. 

What confuses me is why people trust that his interest is free speech, or that he somehow represents us.

Cult of personality is weird.
1
1",🍃,1,,1,[],https://twitter.com/accretionist/status/1514753265052925957
CovidNoGood,@CovidNoGood,2022-04-14T23:44:05.000Z,"CovidNoGood
@CovidNoGood
·
Apr 14, 2022","Replying to 
@CovidNoGood
 @edotanferri
 and 4 others
Elon Musk took Twitter for a ride at almost no risk. Most important of all… he drew attention to ownership structures and inner workings of Twitter - that is if you stop hating and start paying attention.
 
Watch the share price as he dumps his position.
1",,,1,,[],https://twitter.com/CovidNoGood/status/1514751376345206785
Mohammed Al’Otaibi,@malotaibi,2022-04-14T23:54:40.000Z,"Mohammed Al’Otaibi
@malotaibi
·
Apr 14, 2022","Replying to 
@elonmusk
 @Alwaleed_Talal
 and 2 others
Just buy the damn thing and end speech restrictions imposed on Trump and RT etc.— we all know Twitter disregards 1st amendment for the sake of lefty partisans ≠ freedom of speech.",,,,,[],https://twitter.com/malotaibi/status/1514754038138642439
Lynn Without an E,@Moon_River05,2022-04-14T23:47:28.000Z,"Lynn Without an E
@Moon_River05
·
Apr 14, 2022","Replying to 
@djrothkopf
 @Twitter
 and 
@elonmusk
I'm giving Elon Musk a chance. My only concern is yes Free Speech but not Free Hate Speech. That still needs tight reins. Other than that, God Bless if it should work out for him
1",,,,1,[],https://twitter.com/Moon_River05/status/1514752229768540181
محمد الدبور,@apo_turke,2022-04-14T23:50:35.000Z,"محمد الدبور
@apo_turke
·
Apr 14, 2022","Replying to 
@elonmusk
 @Alwaleed_Talal
 and 2 others
Is the freedom of journalistic expression, Mr. Musk, about stripping Russia of Twitter and our children studying there? Is freedom of expression for our children to lose money by closing all their transfers in Russia? Is this one of the human rights that you exercised there once
1",,1,,,[],https://twitter.com/apo_turke/status/1514753011884642314
QuentinR,@QuentinRendell,2022-04-14T23:51:14.000Z,"QuentinR
@QuentinRendell
·
Apr 14, 2022","Replying to 
@elonmusk
 @Alwaleed_Talal
 and 2 others
Elon Musk makes bid to buy Twitter to build 'arena for free speech'
sbs.com.au
Elon Musk makes bid to buy Twitter to build 'arena for free speech'
Elon Musk says he wants to buy Twitter to make it a platform for free speech.",,,,,['https://pbs.twimg.com/card_img/1621653680591376384/x83mJtcG?format=jpg&name=small'],https://twitter.com/QuentinRendell/status/1514753174346772480
Eric,@texas191145,2022-04-14T23:56:16.000Z,"Eric
@texas191145
·
Apr 14, 2022","Replying to 
@elonmusk
 @Alwaleed_Talal
 and 2 others
Mr. Musk if you do end up owning twitter please keep in mind that I am more willing to replace any executive that I’m qualified to with an 20% no questions asked pay cut. Also I promise not to have any meltdowns or air any grievances publicly of any disagreements.",,,,,[],https://twitter.com/texas191145/status/1514754441307635716
Read Jackson Rising by @CooperationJXN,Read Jackson Rising by @CooperationJXN,2022-04-15T23:36:05.000Z,"Read Jackson Rising by @CooperationJXN
@JoshuaPHilll
·
Apr 15, 2022","When Jeff Bezos owns the Washington Post, Elon Musk has $43 billion sitting around to spend on Twitter, Bill Gates owns the most farmland in the county, and more than half of Congress is millionaires, you have to start thinking that capitalism doesn't work with real democracy.
203
3,223
14.1K",,203,"3,223",14.1K,[],https://twitter.com/JoshuaPHilll/status/1515111752442257411
Ryan Fournier,@RyanAFournier,2022-04-15T23:28:58.000Z,"Ryan Fournier
@RyanAFournier
·
Apr 15, 2022","I’m more worried about how Congress wastes our money than I am about Elon Musk buying Twitter.
54
568
3,820",,54,568,"3,820",[],https://twitter.com/RyanAFournier/status/1515109960732000258
Greta Van Susteren,@greta,2022-04-15T23:34:20.000Z,"Greta Van Susteren
@greta
·
Apr 15, 2022","The 
@Twitter
 Board passed some things today to block 
@elonmusk
 …my guess? If Musk bought twitter they (the Board and executives) might all get fired by him so they are trying to block Musk. What do you think?
223
104
837",,223,104,837,[],https://twitter.com/greta/status/1515111308471021570
Alexander Stuart,@AlexChowStuart,2022-04-15T23:51:56.000Z,"Alexander Stuart
@AlexChowStuart
·
Apr 15, 2022","Everybody who can afford it, buy some (even one) 
@Twitter
 shares, not to make money necessarily but to help block 
@elonmusk
 from buying it and turning it to his personal domain, with his “libertarian” autocratic rules of his concept of “free speech.”

#TWTR is currently $46.66…
1
3
7",🐀,1,3,7,[],https://twitter.com/AlexChowStuart/status/1515115740805750784
Cephii,@Cephii1,2022-04-15T23:49:00.000Z,"Cephii
@Cephii1
·
Apr 15, 2022","@asparagoid
 should buy 
@twitter
 with his billions
3
4
47",,3,4,47,[],https://twitter.com/Cephii1/status/1515115003036282883
Md Shahbaaz,@chotanawab7744,2022-04-15T23:33:15.000Z,"Md Shahbaaz
@chotanawab7744
·
Apr 15, 2022","Everything is possible buy Twitter 
@elonmusk
 
Do anything 
@Twitter
 
Market King 
@elonmusk",,,,,['https://pbs.twimg.com/media/FQbBc-1agAMQcFw?format=jpg&name=small'],https://twitter.com/chotanawab7744/status/1515111039318249472
xavier gives,@xavier42069999,2022-04-15T23:59:23.000Z,"xavier gives
@xavier42069999
·
Apr 15, 2022","Will 
@elonmusk
 have victory over 
@Twitter
 ?  #ElonMusk #elon
Yes
88.5%
No
11.5%
26 votes
·
Final results
2
2",🧐,,2,2,[],https://twitter.com/xavier42069999/status/1515117614699368454
Daisy Cutter,@D415Y_CU773R,2022-04-15T23:54:32.000Z,"Daisy Cutter
@D415Y_CU773R
·
Apr 15, 2022","Imagine getting flagged for sharing an opinion with the OP and retweeting it because you agree only to have Twitter tell you what to think. This is why 
@elonmusk
 is trying to buy 
@Twitter
, to stop exactly this.
1
3",,,1,3,['https://pbs.twimg.com/media/FQbF5scWUAIMQXT?format=jpg&name=900x900'],https://twitter.com/D415Y_CU773R/status/1515116394865692672
The Liberal Warrior,@RealLibWarrior,2022-04-15T23:53:37.000Z,"The Liberal Warrior
@RealLibWarrior
·
Apr 15, 2022","@Twitter
 Please Do NOT sell this platform to Elon Musk. He only wants Twitter so can turn it into a right wing cesspool and to be the thing he accuses your organization of censorship. Don’t let him ruin #Twitter",,,,,['https://pbs.twimg.com/media/FQbGHyNWQAMHpK3?format=jpg&name=small'],https://twitter.com/RealLibWarrior/status/1515116163562409991
Fight Like A Mother!,@eainsaunt,2022-04-15T23:57:29.000Z,"Fight Like A Mother!
@eainsaunt
·
Apr 15, 2022","Replying to 
@greta
 @Twitter
 and 
@elonmusk
Musk is just the American version of an oligarch.
1
3",🌊 🌻,,1,3,[],https://twitter.com/eainsaunt/status/1515117135881666560
Alex P.,@Cali_Persian,2022-04-15T23:35:48.000Z,"Alex P.
@Cali_Persian
·
Apr 15, 2022","Replying to 
@greta
 @Twitter
 and 
@elonmusk
Musk will cash out hos profits and walk away. It was always the goal.
1
4",,,1,4,[],https://twitter.com/Cali_Persian/status/1515111680967004162
The Global Investor Conference,@LinqtoGIC,2022-04-15T23:54:50.000Z,"The Global Investor Conference
@LinqtoGIC
·
Apr 15, 2022","#Crypto entrepreneur #SinaEstavi is struggling to sell an #NFT of 
@Twitter
 co-founder #JackDorsey's first tweet after having shelled out millions to buy the #token in the first place.
finance.yahoo.com
A crypto entrepreneur bought an NFT of Jack Dorsey's first tweet for nearly $3 million and tried to...
""Someone like Elon Musk"" deserves to own Jack Dorsey's first tweet as an NFT, the struggling seller said.
1
3
5",,1,3,5,['https://pbs.twimg.com/card_img/1620291918570700800/qLZ-L8Sv?format=jpg&name=small'],https://twitter.com/LinqtoGIC/status/1515116470627360777
Steve Werner,@marinepatriot11,2022-04-15T23:43:29.000Z,"Steve Werner
@marinepatriot11
·
Apr 15, 2022","Replying to 
@NEWSMAX
 @Twitter
 and 
@elonmusk
Elon and Trump have alot in common, Elon and Trump are both draft dodgers, both go through wife’s like underwear, both strap their children with ridiculous names,both started with their parents bank rolls,one difference, Elon can read and write! Go away Elon! Make affordable cars
GIF",,,,,[],https://twitter.com/marinepatriot11/status/1515113611248734213
"T.S. Clampett, unindicted co-conspirator of Mirth",@TySparks8,2022-04-15T23:59:05.000Z,"T.S. Clampett, unindicted co-conspirator of Mirth
@TySparks8
·
Apr 15, 2022","""Help me, Janice, 
@elonmusk
is trying to buy 
@Twitter
!""
youtube.com
Help Me, Janice!
A kid on a slingshot ride almost falls out and keep crying for his aunt to help him and his aunt just laughs and laughs!
1",,,,1,['https://pbs.twimg.com/card_img/1620323773168623616/KmfMfk6_?format=jpg&name=240x240'],https://twitter.com/TySparks8/status/1515117538966970373
CryptoLytic,@crypto_lytic,2022-04-15T23:34:10.000Z,"CryptoLytic
@crypto_lytic
·
Apr 15, 2022","If 
@elonmusk
 were to launch his own 
@Twitter
 competitor, would you make the switch immediately? If not, why? #twitter #ElonMusk #poisonpill #TwitterTakeover #musk
Yes
55%
No
45%
20 votes
·
Final results
1
1
1",,1,1,1,[],https://twitter.com/crypto_lytic/status/1515111267941376000
Author Ronald Hale,@SirRonHale,2022-04-15T23:40:50.000Z,"Author Ronald Hale
@SirRonHale
·
Apr 15, 2022","The 
@elonmusk
 v. 
@Twitter
 board is not a hostile takeover. It’s a very public takeover. If you have the cash you should be allowed to buy whatever company you want. The charged disrespect to the rich needs to stop. #BuyTwitter $TWTR",,,,,[],https://twitter.com/SirRonHale/status/1515112945902096385
JAMES D PENDRICK,@jimdpendrick,2022-04-15T23:53:25.000Z,"JAMES D PENDRICK
@jimdpendrick
·
Apr 15, 2022","Replying to 
@ClayTravis
 and 
@Twitter
It’s only money. Money can’t buy your soul",,,,,[],https://twitter.com/jimdpendrick/status/1515116111741829129
"Elaine McFadden, MPH",@smarthealthtalk,2022-04-15T23:33:00.000Z,"Elaine McFadden, MPH
@smarthealthtalk
·
Apr 15, 2022","Isn’t 
@elonmusk
 literally using $BILLIONs in Federal taxpayer subsides to buy #POWER to put #Trump & all his followers back on 
@Twitter
? Lost respect & will NOT be buying 
@Tesla
. Many great electric cars today. If Elon has $43B to buy 
@Twitter
 why not pay back taxpayer subsides?
1",,1,,,[],https://twitter.com/smarthealthtalk/status/1515110975535398912
cat curtis,@RokkkkkCat,2022-04-15T23:52:37.000Z,"cat curtis
@RokkkkkCat
·
Apr 15, 2022","Replying to 
@greta
 @elonmusk
 and 
@Twitter
I think Elon musk is fascinating, period.
4",,,,4,[],https://twitter.com/RokkkkkCat/status/1515115912369635329
PLOMO,@rocketastronaut,2022-04-15T23:28:11.000Z,"PLOMO
@rocketastronaut
·
Apr 15, 2022","Replying to 
@Kory_Corner
 @koryamc1
 and 2 others
that’s so stupid, it will only dilute the stock FOCKING all shareholders, he’ll still buy the company, but NOW at a discount, if anybody thinks he doesn’t have this already figured out they are stupid as FOCK, with that kind of money, if he’s buying you are selling, PERIOD
7",,,,7,[],https://twitter.com/rocketastronaut/status/1515109763725479937
Ultra Dog Papa,@telecom_guy,2022-04-15T23:40:02.000Z,"Ultra Dog Papa
@telecom_guy
·
Apr 15, 2022","Replying to 
@TickerSymbolYOU
 @elonmusk
 and 2 others
I like you and your channel — so no hate. But I think Elon is doing the world a favor and (as a $TSLA investor)… I just fine with it. I am excited to see where the next GFs will be though.
2
8",,2,,8,[],https://twitter.com/telecom_guy/status/1515112744189677579
ballz_deep,@ballz_deeper,2022-04-15T23:45:47.000Z,"ballz_deep
@ballz_deeper
·
Apr 15, 2022","@Twitter
 freedom of speech doesn’t protect screaming fire or yelling out bomb to stir a reaction that may or may not harm people. Trump did that for four years. He’s banned as a result. Please remind Musk as the jerk tries to the First Amendment trademark. #FreeSpeech",,,,,[],https://twitter.com/ballz_deeper/status/1515114193459974147
Betty Hernandez,@BettyHe89754674,2022-04-15T23:45:32.000Z,"Betty Hernandez
@BettyHe89754674
·
Apr 15, 2022","Replying to 
@NEWSMAX
 @Twitter
 and 
@elonmusk
Elon is a genius he will get Twitter.
1",,,,1,[],https://twitter.com/BettyHe89754674/status/1515114127345266690
big_citygirl6701,@millert09961135,2022-04-15T23:42:10.000Z,"big_citygirl6701
@millert09961135
·
Apr 15, 2022","Replying to 
@greta
 @Twitter
 and 
@elonmusk
I hope Elon Musk takes it all over!!!!",,,,,[],https://twitter.com/millert09961135/status/1515113281576443908
Patrick (sales dude),@SalesPYP,2022-04-15T23:46:58.000Z,"Patrick (sales dude)
@SalesPYP
·
Apr 15, 2022","Replying to 
@MKnight_1984
 @ClayTravis
 and 
@Twitter
Why would Elon bid against himself, legitimately not one other person has come forward with an offer. His was above share value both at purchase and now at the close of business today. The board is there to steer the company towards getting rewarded for investing.
1
3",,1,,3,[],https://twitter.com/SalesPYP/status/1515114489934454793
JGP,@jgp94,2022-04-15T23:58:00.000Z,"JGP
@jgp94
·
Apr 15, 2022","Replying to 
@leafdelpino
 @MKnight_1984
 and 2 others
I have owned the stock for ~10 years and its been in the 30s most of my ownership. The offer feels low but I’m happy to take the money and give Elon a shot to make a difference (and I personally think the freedom of speech stuff is over blown)
1
2",,1,,2,[],https://twitter.com/jgp94/status/1515117265011761152
D D,@DDlyDeb,2022-04-15T23:57:47.000Z,"D D
@DDlyDeb
·
Apr 15, 2022","Replying to 
@UnknownPossum69
 and 
@elonmusk
Musk only supports his own speech to be free. If he wants a platform he should create one of his own. Or perhaps he's just not quite smart enough to do it.

 Thanks 
@Twitter
 for not allowing his hostile takeover of your platform.
3
2",,3,,2,[],https://twitter.com/DDlyDeb/status/1515117210632523779
Denise P.,@DeeLZP,2022-04-15T23:27:55.000Z,"Denise P.
@DeeLZP
·
Apr 15, 2022","Replying to 
@JessicaKirson
 @elonmusk
 and 
@Twitter
Your family may be on Elon's side. Watch out.",,,,,[],https://twitter.com/DeeLZP/status/1515109694720856068
Itty,@bobberri1,2022-04-15T23:53:33.000Z,"Itty
@bobberri1
·
Apr 15, 2022","Replying to 
@CawthornforNC
 @Twitter
 and 
@elonmusk
That would be awesome! Break the rules Elon",,,,,[],https://twitter.com/bobberri1/status/1515116146617430018
Republican White Jesus,@jeffcapa007,2022-04-15T23:47:27.000Z,"Republican White Jesus
@jeffcapa007
·
Apr 15, 2022","Replying to 
@Alwaleed_Talal
 @elonmusk
 and 2 others
I'll give my few shares of Twitter stock to Elon Musk for that price.",,,,,[],https://twitter.com/jeffcapa007/status/1515114611103703045
Premton Sadiku,@PremtonSadiku1,2022-04-15T23:38:32.000Z,"Premton Sadiku
@PremtonSadiku1
·
Apr 15, 2022","Replying to 
@FoxBusiness
i the owner of more than 55% of shares at 
@Twitter
 tell this musk guy bugger off.",,,,,[],https://twitter.com/PremtonSadiku1/status/1515112369583759367
SooskaVaxxed-Still-Wears-A-Mask,@SooskaVee,2022-04-15T23:39:12.000Z,"SooskaVaxxed-Still-Wears-A-Mask
@SooskaVee
·
Apr 15, 2022","Replying to 
@markghost45
 and 
@Twitter
Elon is the son he never had.
1",,,,1,[],https://twitter.com/SooskaVee/status/1515112535447511042
Captain Peru,@pierogamarra,2022-04-15T23:50:39.000Z,"Captain Peru
@pierogamarra
·
Apr 15, 2022","@Twitter
 doesn't seem to realize that 
@elonmusk
 doesn't have to buy twitter. he is doing it to help them out.  if he created a platform like twitter, twitter would be dead in a year. lol #selltwitter
1",,,,1,[],https://twitter.com/pierogamarra/status/1515115415822774273
Ike Nicholson,@drikenicholson,2022-04-15T23:53:24.000Z,"Ike Nicholson
@drikenicholson
·
Apr 15, 2022","@Twitter
 , come on…let 
@elonmusk
 buy you. It’s the most interesting thing that has happened in years. You all look like Commanders of the Faithful with your pill thing. #handmaidstale",🦍 🦬 🦕,,,,[],https://twitter.com/drikenicholson/status/1515116107329204225
Antonio Russomanno,@gearclub1,2022-04-15T23:57:10.000Z,"Antonio Russomanno
@gearclub1
·
Apr 15, 2022","Replying to 
@ThatGuy07446764
 @KurtSchlichter
 and 2 others
They will have too.  This is the beginning of a hostile takeover.  Go Elon!
3",,,,3,[],https://twitter.com/gearclub1/status/1515117058043924483
ihodling.coin,@ihodling_coin,2022-04-15T23:52:20.000Z,"ihodling.coin
@ihodling_coin
·
Apr 15, 2022","Replying to 
@derekahunter
 @Twitter
 and 2 others
Imagine if Jack comes in with Elon",,,,,[],https://twitter.com/ihodling_coin/status/1515115840215171081
MLarso,@SleepingPhnx28,2022-04-15T23:45:27.000Z,"MLarso
@SleepingPhnx28
·
Apr 15, 2022","Replying to 
@BillKanellis
 @EBischoff
 and 2 others
U can only buy shares someone is willing to sell
1",,1,,,[],https://twitter.com/SleepingPhnx28/status/1515114108810665985
Chris Felcker,@chrisfelcker,2022-04-15T23:34:08.000Z,"Chris Felcker
@chrisfelcker
·
Apr 15, 2022","Replying to 
@svdvizag
 @HSoran1987
 and 2 others
27% of people said Twitter is a good buy?",,,,,[],https://twitter.com/chrisfelcker/status/1515111259955367937
Michael Knight,@MKnight_1984,2022-04-15T23:35:38.000Z,"Michael Knight
@MKnight_1984
·
Apr 15, 2022","Replying to 
@Juliefe14586797
 @ClayTravis
 and 
@Twitter
Under $30 is less than Truth Social. I’ll buy twitter if it drops that low 
2",🤣,2,,,[],https://twitter.com/MKnight_1984/status/1515111638499827716
simon,@simon93147,2022-04-15T23:56:08.000Z,"simon
@simon93147
·
Apr 15, 2022","Replying to 
@VoiceOfReasonRx
 @DavidSamollow
 and 3 others
Elons prices of 50% higher than the price before  the musk pump. Seems fair for an lower than average grower",,,,,[],https://twitter.com/simon93147/status/1515116796608753667
Hollington Tong,@HollingtonTong,2022-04-15T23:54:06.000Z,"Hollington Tong
@HollingtonTong
·
Apr 15, 2022","Replying to 
@TomFitton
 @Twitter
 and 
@elonmusk
When Elon Musk buy the company, no more Twitter board to don’t anything! They will be out in the street. Cannot act that fast! Not even Trump!",,,,,[],https://twitter.com/HollingtonTong/status/1515116286207946756
Richard Hasse,@RichardHasse,2022-04-15T23:47:48.000Z,"Richard Hasse
@RichardHasse
·
Apr 15, 2022","Replying to 
@KurtSchlichter
 @Twitter
 and 
@elonmusk
Long term shareholder interest is served by not allowing Elon Musk to buy and privatize it.
1",,,,1,[],https://twitter.com/RichardHasse/status/1515114699179835399
Zak,@ZakSmith0315,2022-04-15T23:30:51.000Z,"Zak
@ZakSmith0315
·
Apr 15, 2022","Replying to 
@cuynak
 and 
@Twitter
Tell me you don’t know that vanguard is one of the wealthiest companies ever without telling me. Elon doesn’t hold a candle to vanguard.",,,,,[],https://twitter.com/ZakSmith0315/status/1515110432377393153
bill johnstone,@billjohnstone16,2022-04-15T23:27:40.000Z,"bill johnstone
@billjohnstone16
·
Apr 15, 2022","Replying to 
@ClayTravis
 and 
@Twitter
One year ago in Feb the stock was 80 per share. It will get back to that, and you’ll be sorry you sold at 54 when musk turns it into his personal marketing and soft power platform with ridiculous bs advertising for only Tesla and leisure trips to mars. Hes got enough exposure.",,,,,[],https://twitter.com/billjohnstone16/status/1515109632934563842
David Mateu,@David_Mateu,2022-04-15T23:48:58.000Z,"David Mateu
@David_Mateu
·
Apr 15, 2022","Replying to 
@elonmusk
 @Alwaleed_Talal
 and 2 others
Hi Elon, I do not think at all that you care about freedom of speech.",,,,,[],https://twitter.com/David_Mateu/status/1515114994735751179
DUMNT,@dumont,2022-04-15T23:30:47.000Z,"DUMNT
@dumont
·
Apr 15, 2022","Some press re: 
@twitter
 Sources: Elon Musk is speaking to investors, including Silver Lake, to partner with him on a bid for Twitter; a partnership could be announced within days (Josh Kosman/New York Post) https://ift.tt/7ZMr0Jz #twitter
techmeme.com
Sources: Elon Musk is speaking to investors, including Silver Lake, to partner with him on a...
Josh Kosman / New York Post: Sources: Elon Musk is speaking to investors, including Silver Lake, to partner with him on a Twitter bid; a plan with partners could be announced within days",⭕,,,,[],https://twitter.com/dumont/status/1515110416141139969
laura devereaux,@laura_devereaux,2022-04-15T23:43:55.000Z,"laura devereaux
@laura_devereaux
·
Apr 15, 2022","Replying to 
@SFaymonville
 @GalCastaway
 and 3 others
That's not f*kking true!!
 
I've never needed a$$hat Musk or his fanboy bots to speak up about the rediculousness of All these a$$wipes.
1",☮ ☮ ☮,1,,,[],https://twitter.com/laura_devereaux/status/1515113721533644800
laura devereaux,@laura_devereaux,2022-04-15T23:41:32.000Z,"laura devereaux
@laura_devereaux
·
Apr 15, 2022","Replying to 
@TheBrandonMorse
 @Twitter
 and 
@elonmusk
I don't need Musk or his fanboy bots to speak freely. I do it ALL the fu(king time. I even call some a$$wipe or a$$hats. 

See how this free speech works?",☮ ☮ ☮,,,,[],https://twitter.com/laura_devereaux/status/1515113123069399040
Wynand L Burger,@BlouwildeWynie,2022-04-15T23:45:21.000Z,"Wynand L Burger
@BlouwildeWynie
·
Apr 15, 2022","Replying to 
@elonmusk
 @AllieNicole4787
 and 3 others
First you want to put them out of business with Tesla ,now you want to devalue their investment in Twitter! Great Work #Elon gee hulle gas my maat ! Dis lankal tyd dat paar mense op hulle donner kry ",😂,,,,[],https://twitter.com/BlouwildeWynie/status/1515114082466152456
Doer of Deeds,@deed_doer,2022-04-15T23:18:58.000Z,"Doer of Deeds
@deed_doer
·
Apr 15, 2022","Replying to 
@KurtSchlichter
 @Twitter
 and 
@elonmusk
Feel free to sell your shares to Elon then.
1",💔,1,,,[],https://twitter.com/deed_doer/status/1515107441754652675
